device;macaddress;ssid;time
656d1ce22a47774aba20dcd5894d379969618388;34475e7a54ea3459938f7dcb8f5aaed079baf632;113bb49b51edda75072008e1f381185578aa992e;2010-12-15T10:49:43.216+0000
656d1ce22a47774aba20dcd5894d379969618388;8af02e448b1e35dda4c5ae790da0e92ee6072f35;5ca1129c933aed5894312ec92fba984ac76f1e19;2010-12-15T10:49:43.218+0000
656d1ce22a47774aba20dcd5894d379969618388;98d4baee0d789356d0ea63a7e4bd0e1e8c1a89a0;d4bb42fbaa66b92054b2c780a9151fe233ecb25c;2010-12-15T10:49:43.224+0000
656d1ce22a47774aba20dcd5894d379969618388;9e3221521ca660197b9b556d374bfcfb581a125d;d4bb42fbaa66b92054b2c780a9151fe233ecb25c;2010-12-15T10:49:43.227+0000
656d1ce22a47774aba20dcd5894d379969618388;d5004bbfcc0eebe66d7c29a1037e9c3d117503cb;d4bb42fbaa66b92054b2c780a9151fe233ecb25c;2010-12-15T10:49:43.230+0000
656d1ce22a47774aba20dcd5894d379969618388;021fa6c9c15812c7661dd083c34eef36305a71c2;d4bb42fbaa66b92054b2c780a9151fe233ecb25c;2010-12-15T10:49:43.236+0000
656d1ce22a47774aba20dcd5894d379969618388;95d8de061ba6af2be147b4831836a13e534cac7c;86e1c37f795dd465bdc5a5e3a8c196850a8b9d4c;2010-12-15T10:49:43.240+0000
656d1ce22a47774aba20dcd5894d379969618388;cb5f445ab73ba9dd6d8d1d83388549ca8fd49076;b388f8a0d7e794fb48aab89ccfd0c4c9c25b728e;2010-12-15T10:49:43.252+0000
656d1ce22a47774aba20dcd5894d379969618388;e376edd7f8883ca2dfb71d5d67916ce47d6ee916;e39e48078e34a4cdaa31d28eb571246a7f57802a;2010-12-15T10:49:43.255+0000
656d1ce22a47774aba20dcd5894d379969618388;d3be0b0bb54be96d1f5a40ff7d609ba91e41124f;01a7a44fa8840120dac607fe61895fb9c15d176e;2010-12-15T10:49:43.259+0000
656d1ce22a47774aba20dcd5894d379969618388;5fbb7f3ab7bdd97ad32bac7e160f176588ec3b6a;e39e48078e34a4cdaa31d28eb571246a7f57802a;2010-12-15T10:49:43.264+0000
656d1ce22a47774aba20dcd5894d379969618388;b97f4a5d18c943a2bebdb835293ae6490a559a6d;86e1c37f795dd465bdc5a5e3a8c196850a8b9d4c;2010-12-15T10:49:43.269+0000
656d1ce22a47774aba20dcd5894d379969618388;2d9e28681552281eb66055f9f4f6bcf5fd75fd8a;e39e48078e34a4cdaa31d28eb571246a7f57802a;2010-12-15T10:49:43.275+0000
656d1ce22a47774aba20dcd5894d379969618388;da81200d4c0d43b72b9c6d6314e163534b1e3bbb;604ce6df8c8664feea88a9cb74b15391ee4dd586;2010-12-15T10:49:43.280+0000
656d1ce22a47774aba20dcd5894d379969618388;d1543168495e3e4c5784e701fb863863a1330d04;86e1c37f795dd465bdc5a5e3a8c196850a8b9d4c;2010-12-15T10:49:43.283+0000
656d1ce22a47774aba20dcd5894d379969618388;bbf9fbefbb45e44379a6cef61cd4b881bbeb326e;e39e48078e34a4cdaa31d28eb571246a7f57802a;2010-12-15T10:49:43.287+0000
656d1ce22a47774aba20dcd5894d379969618388;f334c014ddbb9fd36db5abc4fc869d5b75c1e9d2;e39e48078e34a4cdaa31d28eb571246a7f57802a;2010-12-15T10:49:43.298+0000
656d1ce22a47774aba20dcd5894d379969618388;4c67da91b1b558546da9297ee12368ccffef2bf2;ba4bc841ce1e05ce2fd9cdad82602b1d61a0547f;2010-12-15T10:49:43.300+0000
